/ SCAPS Absorption Data - CdS1
/ lambda[nm]	alpha[m^-1]
8.520000e+02	6.780437e+06
8.530000e+02	6.774320e+06
8.540000e+02	6.805236e+06
8.550000e+02	6.787937e+06
8.560000e+02	6.793069e+06
8.570000e+02	6.755641e+06
8.580000e+02	6.703766e+06
8.590000e+02	6.791261e+06
8.600000e+02	6.768342e+06
8.610000e+02	6.815810e+06
8.620000e+02	6.671160e+06
8.630000e+02	6.721170e+06
8.640000e+02	6.690566e+06
8.650000e+02	6.735283e+06
8.660000e+02	6.744813e+06
8.670000e+02	6.832802e+06
8.680000e+02	6.804235e+06
8.690000e+02	6.714989e+06
8.700000e+02	6.811913e+06
8.710000e+02	6.855368e+06
8.720000e+02	6.798211e+06
8.730000e+02	6.751077e+06
8.740000e+02	6.766725e+06
8.750000e+02	6.668030e+06
8.760000e+02	6.841201e+06
8.770000e+02	6.748205e+06
8.780000e+02	6.850222e+06
8.790000e+02	6.839439e+06
8.800000e+02	6.812917e+06
8.810000e+02	6.757427e+06
8.820000e+02	6.778130e+06
8.830000e+02	6.837556e+06
8.840000e+02	6.722192e+06
8.850000e+02	6.804326e+06
8.860000e+02	6.773319e+06
8.870000e+02	6.874694e+06
8.880000e+02	6.975471e+06
8.890000e+02	6.942918e+06
8.900000e+02	6.734856e+06
8.910000e+02	6.778276e+06
8.920000e+02	6.829456e+06
8.930000e+02	6.847720e+06
8.940000e+02	6.705154e+06
8.950000e+02	6.795011e+06
8.960000e+02	6.854017e+06
8.970000e+02	6.782862e+06
8.980000e+02	6.780209e+06
8.990000e+02	6.748535e+06
9.000000e+02	6.795229e+06
